,Unnamed: 0,Date,MCO
112,112,2019-07-17,195.0033721923828
113,113,2019-07-18,196.4458923339844
114,114,2019-07-19,193.19537353515625
115,115,2019-07-22,194.5225067138672
116,116,2019-07-23,194.88792419433597
117,117,2019-07-24,195.25338745117188
118,118,2019-07-25,193.16650390625
119,119,2019-07-26,195.60923767089844
120,120,2019-07-29,193.753173828125
121,121,2019-07-30,194.49368286132807
122,122,2019-07-31,206.1301727294922
123,123,2019-08-01,207.77471923828125
124,124,2019-08-02,206.0917816162109
125,125,2019-08-05,194.9264373779297
126,126,2019-08-06,198.39816284179688
127,127,2019-08-07,200.2734832763672
128,128,2019-08-08,206.4283447265625
129,129,2019-08-09,205.92823791503903
130,130,2019-08-12,204.77420043945312
131,131,2019-08-13,205.3223876953125
132,132,2019-08-14,198.60011291503903
133,133,2019-08-15,201.9083404541016
134,134,2019-08-16,206.0821075439453
135,135,2019-08-19,209.6873016357422
136,136,2019-08-20,208.829345703125
137,137,2019-08-21,211.142822265625
138,138,2019-08-22,208.9547119140625
139,139,2019-08-23,202.8143768310547
140,140,2019-08-26,204.60728454589844
141,141,2019-08-27,205.5808563232422
142,142,2019-08-28,206.631591796875
143,143,2019-08-29,208.5594787597656
144,144,2019-08-30,207.8075714111328
145,145,2019-09-03,205.45553588867188
146,146,2019-09-04,205.995361328125
