,Unnamed: 0,Date,JNPR
146,146,2019-09-04,20.3043270111084
147,147,2019-09-05,20.99022483825684
148,148,2019-09-06,21.25403213500977
149,149,2019-09-09,21.122129440307617
150,150,2019-09-10,21.55301094055176
151,151,2019-09-11,21.53542709350586
152,152,2019-09-12,21.491453170776367
153,153,2019-09-13,21.341968536376957
154,154,2019-09-16,21.43869400024414
155,155,2019-09-17,21.18368148803711
156,156,2019-09-18,21.078161239624023
157,157,2019-09-19,20.99022483825684
158,158,2019-09-20,20.972639083862305
159,159,2019-09-23,21.38593292236328
160,160,2019-09-24,21.29800033569336
161,161,2019-09-25,21.79043960571289
162,162,2019-09-26,21.764057159423828
163,163,2019-09-27,21.86958122253418
164,164,2019-09-30,21.764057159423828
165,165,2019-10-01,20.84952735900879
166,166,2019-10-02,20.45381546020508
