,Unnamed: 0,Date,UPS
63,63,2019-05-07,87.75382232666016
64,64,2019-05-08,87.54753875732422
65,65,2019-05-09,86.6020278930664
66,66,2019-05-10,86.49885559082031
67,67,2019-05-13,85.39859771728516
68,68,2019-05-14,85.75102996826172
69,69,2019-05-15,87.28108215332031
70,70,2019-05-16,87.0833740234375
71,71,2019-05-17,86.25897216796875
72,72,2019-05-20,85.49530029296875
73,73,2019-05-21,86.26764678955078
74,74,2019-05-22,84.61015319824219
75,75,2019-05-23,83.45600128173828
76,76,2019-05-24,83.17828369140625
77,77,2019-05-28,81.63361358642578
78,78,2019-05-29,82.24107360839844
79,79,2019-05-30,83.09152221679688
80,80,2019-05-31,80.6356430053711
81,81,2019-06-03,81.68567657470703
82,82,2019-06-04,84.74900817871094
83,83,2019-06-05,85.22628021240234
84,84,2019-06-06,85.0440444946289
85,85,2019-06-07,85.24365997314453
86,86,2019-06-10,86.85773468017578
87,87,2019-06-11,86.78832244873047
88,88,2019-06-12,87.12674713134766
89,89,2019-06-13,88.53258514404297
90,90,2019-06-14,88.18547821044922
91,91,2019-06-17,87.99456024169922
92,92,2019-06-18,88.64541625976562
93,93,2019-06-19,88.1333999633789
94,94,2019-06-20,89.73014831542969
95,95,2019-06-21,88.66276550292969
96,96,2019-06-24,86.53667449951172
97,97,2019-06-25,84.2890625
98,98,2019-06-26,86.75363159179688
99,99,2019-06-27,88.2549057006836
100,100,2019-06-28,89.61734008789062
101,101,2019-07-01,89.35699462890625
102,102,2019-07-02,88.51524353027344
103,103,2019-07-03,89.55661010742188
104,104,2019-07-05,88.87972259521484
105,105,2019-07-08,88.44580841064453
106,106,2019-07-09,88.28095245361328
107,107,2019-07-10,88.18547821044922
108,108,2019-07-11,89.66940307617188
109,109,2019-07-12,91.90831756591795
110,110,2019-07-15,91.80419158935548
111,111,2019-07-16,91.64798736572266
112,112,2019-07-17,88.71483612060547
113,113,2019-07-18,89.20948028564453
114,114,2019-07-19,89.65203857421875
115,115,2019-07-22,90.25951385498048
116,116,2019-07-23,91.35293579101562
117,117,2019-07-24,99.26725006103516
118,118,2019-07-25,102.61692810058594
119,119,2019-07-26,104.6388931274414
120,120,2019-07-29,103.05084991455078
121,121,2019-07-30,103.97069549560548
122,122,2019-07-31,103.6756362915039
123,123,2019-08-01,101.5148468017578
124,124,2019-08-02,101.70575714111328
125,125,2019-08-05,99.66641235351562
126,126,2019-08-06,99.79657745361328
127,127,2019-08-07,100.15240478515624
128,128,2019-08-08,102.00948333740234
129,129,2019-08-09,100.44742584228516
130,130,2019-08-12,99.70113372802734
131,131,2019-08-13,100.5168685913086
132,132,2019-08-14,98.96350860595705
133,133,2019-08-15,98.8420181274414
134,134,2019-08-16,100.90741729736328
135,135,2019-08-19,102.21141815185548
136,136,2019-08-20,100.67987823486328
137,137,2019-08-21,101.4587860107422
138,138,2019-08-22,100.83740997314452
139,139,2019-08-23,97.38922882080078
140,140,2019-08-26,100.08477020263672
141,141,2019-08-27,99.88346862792967
142,142,2019-08-28,101.8088607788086
143,143,2019-08-29,103.5942153930664
144,144,2019-08-30,103.8480224609375
145,145,2019-09-03,102.68404388427734
146,146,2019-09-04,104.55689239501952
