,Unnamed: 0,Date,LDOS
146,146,2019-09-04,81.97692108154297
147,147,2019-09-05,83.09964752197266
148,148,2019-09-06,81.97692108154297
149,149,2019-09-09,79.45081329345703
150,150,2019-09-10,78.58072662353516
151,151,2019-09-11,79.75019836425781
152,152,2019-09-12,80.78871154785156
153,153,2019-09-13,80.6102523803711
154,154,2019-09-16,81.06111907958984
155,155,2019-09-17,81.43682861328125
156,156,2019-09-18,82.28221130371094
157,157,2019-09-19,82.066162109375
158,158,2019-09-20,81.08928680419922
159,159,2019-09-23,80.48815155029297
160,160,2019-09-24,80.78873443603516
161,161,2019-09-25,81.75618743896484
162,162,2019-09-26,81.8407211303711
163,163,2019-09-27,79.85881805419922
164,164,2019-09-30,80.66661071777344
165,165,2019-10-01,79.63337707519531
166,166,2019-10-02,77.92387390136719
