,Unnamed: 0,Date,PM
146,146,2019-09-04,56.75304412841797
147,147,2019-09-05,55.92142105102539
148,148,2019-09-06,56.71419143676758
149,149,2019-09-09,56.970680236816406
150,150,2019-09-10,57.9033432006836
151,151,2019-09-11,58.34636306762695
152,152,2019-09-12,58.214237213134766
153,153,2019-09-13,56.7763671875
154,154,2019-09-16,56.42660140991211
155,155,2019-09-17,55.97582244873047
156,156,2019-09-18,55.618289947509766
157,157,2019-09-19,55.73487854003906
158,158,2019-09-20,55.338504791259766
159,159,2019-09-23,55.96027755737305
160,160,2019-09-24,56.537017822265625
161,161,2019-09-25,59.4760627746582
162,162,2019-09-26,59.48397445678711
163,163,2019-09-27,59.357566833496094
164,164,2019-09-30,59.98962020874024
165,165,2019-10-01,61.49073791503906
166,166,2019-10-02,60.61376953125
